claim_id,location,claim_type,value_paper,needs_block,claim,notes
abs_impressions,"Abstract, p. 1",transcribed,1.1,FALSE,"Impressions, in millions, the ads were seen",Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
abs_full_views,"Abstract, p. 1",transcribed,100000,FALSE,Full views of the ads,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
abs_adjusted_est,"Abstract, p. 1",pipeline,-0.04,TRUE,"Covariate-adjusted effect on Democratic vote share, percentage points",
abs_adjusted_se,"Abstract, p. 1",pipeline,0.85,TRUE,"Standard error of the covariate-adjusted effect, percentage points",
abs_election_year,"Abstract, p. 1",structural,2018,FALSE,Year of the midterm elections studied,"A fact about the field period, not a quantity the deposit computes"
intro_impressions,"Introduction, pp. 1-2",transcribed,1.1,FALSE,"Impressions, in millions, restated in the introduction",Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
lit_facebook_spend,"The challenge of political persuasion, pp. 2-3",transcribed,400,FALSE,Millions of dollars Facebook reported was spent on political advertising on its platform in 2018,"Copied from Fowler, Franz and Ridout (2018)"
lit_bg_est,"The challenge of political persuasion, pp. 2-3",transcribed,1.6,FALSE,"Broockman and Green (2014) effect on vote intention, points",Copied from the cited study
lit_bg_se,"The challenge of political persuasion, pp. 2-3",transcribed,1.4,FALSE,"Broockman and Green (2014) standard error, points",Copied from the cited study
lit_turitto_est,"The challenge of political persuasion, pp. 2-3",transcribed,1.1,FALSE,"Turitto et al. (2014) point estimate, points",Copied from the cited study
lit_turitto_se,"The challenge of political persuasion, pp. 2-3",transcribed,2.1,FALSE,"Turitto et al. (2014) standard error, points",Copied from the cited study
lit_hager_pooled_est,"The challenge of political persuasion, pp. 2-3",transcribed,1.7,FALSE,"Hager (2019) pooled effect on CDU vote share, percentage points",Copied from the cited study
lit_hager_pooled_se,"The challenge of political persuasion, pp. 2-3",transcribed,1.2,FALSE,"Hager (2019) pooled standard error, points",Copied from the cited study
lit_hager_adj_est,"The challenge of political persuasion, pp. 2-3",transcribed,0.9,FALSE,"Hager (2019) covariate-adjusted estimate, points",Copied from the cited study; the value that enters this paper's Bayesian updating
lit_hager_adj_se,"The challenge of political persuasion, pp. 2-3",transcribed,0.6,FALSE,"Hager (2019) covariate-adjusted standard error, points",Copied from the cited study
design_zip_codes,"Field experiment: Florida advertisements, p. 3",pipeline,210,TRUE,ZIP codes randomized,
design_cd_1,"Field experiment: Florida advertisements, p. 3",definitional,15,FALSE,Florida congressional district 15 spanned by the study ZIP codes,"Verified at the point of use: the congressional district fixed effects in Tables B.3 to B.5 are the six cd_jumble levels spanning districts 15, 16, 26 and 27"
design_cd_2,"Field experiment: Florida advertisements, p. 3",definitional,16,FALSE,Florida congressional district 16 spanned by the study ZIP codes,"Verified at the point of use: the congressional district fixed effects in Tables B.3 to B.5 are the six cd_jumble levels spanning districts 15, 16, 26 and 27"
design_cd_3,"Field experiment: Florida advertisements, p. 3",definitional,26,FALSE,Florida congressional district 26 spanned by the study ZIP codes,"Verified at the point of use: the congressional district fixed effects in Tables B.3 to B.5 are the six cd_jumble levels spanning districts 15, 16, 26 and 27"
design_cd_4,"Field experiment: Florida advertisements, p. 3",definitional,27,FALSE,Florida congressional district 27 spanned by the study ZIP codes,"Verified at the point of use: the congressional district fixed effects in Tables B.3 to B.5 are the six cd_jumble levels spanning districts 15, 16, 26 and 27"
design_precincts_per_zip_low,"Field experiment: Florida advertisements, p. 3",descriptive,10,TRUE,Lower end of the stated typical number of voting precincts per ZIP code,
design_precincts_per_zip_high,"Field experiment: Florida advertisements, p. 3",descriptive,20,TRUE,Upper end of the stated typical number of voting precincts per ZIP code,
design_drop_threshold,"Field experiment: Florida advertisements, p. 3",definitional,10,FALSE,Percentage of a ZIP code's voters below which a precinct-ZIP pair is dropped,A rule stated in the text; the deposit ships the mapping already applied
design_control_zips,"Field experiment: Florida advertisements, p. 3",pipeline,104,TRUE,ZIP codes assigned to control,
design_treatment_zips,"Field experiment: Florida advertisements, p. 3",pipeline,53,TRUE,ZIP codes assigned to each advertisement condition,
design_precincts,"Field experiment: Florida advertisements, p. 3",pipeline,853,TRUE,Voting precincts in the analysis sample,
design_zips_analysis,"Field experiment: Florida advertisements, p. 3",pipeline,154,TRUE,ZIP codes in the analysis sample,
design_conditions,"Field experiment: Florida advertisements, p. 3",structural,3,FALSE,Conditions a ZIP code could be assigned to (spelled out as 'three conditions'),Spelled-out number
design_trios,"Field experiment: Florida advertisements, p. 3",structural,3,FALSE,ZIP codes per matched block (spelled out as 'matched trios'),Spelled-out number
design_districts_count,"Field experiment: Florida advertisements, p. 3",structural,4,FALSE,Congressional races the ads were deployed across (spelled out as 'the four congressional races'),Spelled-out number
design_ads_count,"Field experiment: Florida advertisements, p. 3",structural,2,FALSE,Treatment advertisements (spelled out as 'the two treatment ads'),Spelled-out number
ads_start_day,"Field experiment: Florida advertisements, p. 4",definitional,25,FALSE,Day of October 2018 the ads began running,A field-period fact carried by no deposited file
ads_budget_each,"Field experiment: Florida advertisements, p. 4",definitional,30000,FALSE,Budget in dollars for each advertisement,A spending fact carried by no deposited file
ads_budget_total,"Field experiment: Florida advertisements, p. 4",definitional,60000,FALSE,Total advertising budget in dollars,A spending fact carried by no deposited file
ads_min_seconds,"Field experiment: Florida advertisements, p. 4",definitional,3,FALSE,Seconds a viewer had to watch before the ad could be skipped,A platform setting carried by no deposited file
ads_still_seconds,"Field experiment: Florida advertisements, p. 4",definitional,3,FALSE,Seconds into the advertisements at which the Table 2 stills were captured,"Stated as 0:03; a property of the figure, not of the data"
outcome_year,"Field experiment: Florida advertisements, p. 4",structural,2018,FALSE,Election year of the outcome measure,
covariate_year_2012,"Field experiment: Florida advertisements, p. 4",structural,2012,FALSE,Lagged general election year used as a covariate: 2012,
covariate_year_2014,"Field experiment: Florida advertisements, p. 4",structural,2014,FALSE,Lagged general election year used as a covariate: 2014,
covariate_year_2016,"Field experiment: Florida advertisements, p. 4",structural,2016,FALSE,Lagged general election year used as a covariate: 2016,
t1_noex_control_prec,"Table 1, p. 3",pipeline,4683,TRUE,"No exclusions, Control: precincts","The deposit holds only the precincts nested within a single ZIP code, so the unrestricted precinct count is not recoverable"
t1_noex_control_zip,"Table 1, p. 3",pipeline,104,TRUE,"No exclusions, Control: ZIP codes",
t1_noex_v1_prec,"Table 1, p. 3",pipeline,2246,TRUE,"No exclusions, Treatment video 1: precincts","The deposit holds only the precincts nested within a single ZIP code, so the unrestricted precinct count is not recoverable"
t1_noex_v1_zip,"Table 1, p. 3",pipeline,53,TRUE,"No exclusions, Treatment video 1: ZIP codes",
t1_noex_v2_prec,"Table 1, p. 3",pipeline,2306,TRUE,"No exclusions, Treatment video 2: precincts","The deposit holds only the precincts nested within a single ZIP code, so the unrestricted precinct count is not recoverable"
t1_noex_v2_zip,"Table 1, p. 3",pipeline,53,TRUE,"No exclusions, Treatment video 2: ZIP codes",
t1_noex_total_prec,"Table 1, p. 3",pipeline,9235,TRUE,"No exclusions, Total: precincts","The deposit holds only the precincts nested within a single ZIP code, so the unrestricted precinct count is not recoverable"
t1_noex_total_zip,"Table 1, p. 3",pipeline,210,TRUE,"No exclusions, Total: ZIP codes",
t1_nested_control_prec,"Table 1, p. 3",pipeline,524,TRUE,"Only nested precincts, Control: precincts",
t1_nested_control_zip,"Table 1, p. 3",pipeline,84,TRUE,"Only nested precincts, Control: ZIP codes",
t1_nested_v1_prec,"Table 1, p. 3",pipeline,285,TRUE,"Only nested precincts, Treatment video 1: precincts",
t1_nested_v1_zip,"Table 1, p. 3",pipeline,43,TRUE,"Only nested precincts, Treatment video 1: ZIP codes",
t1_nested_v2_prec,"Table 1, p. 3",pipeline,287,TRUE,"Only nested precincts, Treatment video 2: precincts",
t1_nested_v2_zip,"Table 1, p. 3",pipeline,42,TRUE,"Only nested precincts, Treatment video 2: ZIP codes",
t1_nested_total_prec,"Table 1, p. 3",pipeline,1096,TRUE,"Only nested precincts, Total: precincts",
t1_nested_total_zip,"Table 1, p. 3",pipeline,169,TRUE,"Only nested precincts, Total: ZIP codes",
t1_outcome_control_prec,"Table 1, p. 3",pipeline,420,TRUE,"With outcome data, Control: precincts",
t1_outcome_control_zip,"Table 1, p. 3",pipeline,76,TRUE,"With outcome data, Control: ZIP codes",
t1_outcome_v1_prec,"Table 1, p. 3",pipeline,220,TRUE,"With outcome data, Treatment video 1: precincts",
t1_outcome_v1_zip,"Table 1, p. 3",pipeline,41,TRUE,"With outcome data, Treatment video 1: ZIP codes",
t1_outcome_v2_prec,"Table 1, p. 3",pipeline,213,TRUE,"With outcome data, Treatment video 2: precincts",
t1_outcome_v2_zip,"Table 1, p. 3",pipeline,37,TRUE,"With outcome data, Treatment video 2: ZIP codes",
t1_outcome_total_prec,"Table 1, p. 3",pipeline,853,TRUE,"With outcome data, Total: precincts",
t1_outcome_total_zip,"Table 1, p. 3",pipeline,154,TRUE,"With outcome data, Total: ZIP codes",
t2_teachers_pct,"Table 2, p. 4",transcribed,40,FALSE,Percentage of teachers the ad says Republicans want to arm,Quoted advertisement copy
t2_nra_millions,"Table 2, p. 4",transcribed,10,FALSE,Millions of dollars the ad says the NRA has given Republicans in Congress,Quoted advertisement copy
t2_nra_pct,"Table 2, p. 4",transcribed,95,FALSE,Percentage of Senate Republicans the ad says have an NRA 'A' grade,Quoted advertisement copy
t2_election_day,"Table 2, p. 4",transcribed,6,FALSE,November date the ad tells viewers to vote,Quoted advertisement copy
t2_still_seconds,"Table 2, p. 4",definitional,3,FALSE,Seconds into the advertisements at which the stills were captured (table note),Stated as 0:03
t3_ad1_clicks,"Table 3, p. 4",transcribed,24832,FALSE,Advertisement 1: clicks,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
t3_ad1_full,"Table 3, p. 4",transcribed,70266,FALSE,Advertisement 1: full views,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
t3_ad1_three,"Table 3, p. 4",transcribed,611732,FALSE,Advertisement 1: three-second views,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
t3_ad2_clicks,"Table 3, p. 4",transcribed,17185,FALSE,Advertisement 2: clicks,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
t3_ad2_full,"Table 3, p. 4",transcribed,47647,FALSE,Advertisement 2: full views,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
t3_ad2_three,"Table 3, p. 4",transcribed,516746,FALSE,Advertisement 2: three-second views,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
results_exposures,"Results, pp. 4-5",transcribed,1.1,FALSE,"Three-second exposures, in millions",Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
results_full_views,"Results, pp. 4-5",transcribed,100000,FALSE,Full views,Table 3's exposure counts come from the advertisement vendor and appear in no deposited file
results_unadj_est,"Results, pp. 4-5",pipeline,2.1,TRUE,"Unadjusted effect on Democratic vote share as stated in the text, percentage points",
results_unadj_se,"Results, pp. 4-5",pipeline,3.0,TRUE,"Standard error of the unadjusted effect as stated in the text, percentage points",
results_ri_p_unadj,"Results, pp. 4-5",pipeline,0.471,TRUE,"One-tailed randomization inference p-value, unadjusted model",
results_adj_est,"Results, pp. 4-5",pipeline,-0.04,TRUE,"Covariate-adjusted effect on vote share, percentage points",
results_adj_se,"Results, pp. 4-5",pipeline,0.85,TRUE,"Standard error of the covariate-adjusted effect, percentage points",
results_ri_p_adj,"Results, pp. 4-5",pipeline,0.508,TRUE,"One-tailed randomization inference p-value, covariate-adjusted model",
